Datetime,Daerah
3/31/2022 5:00,Kebon Pala
3/31/2022 6:00,Kebon Jeruk
3/31/2022 7:00,Bundaran Senayan
3/31/2022 8:00,Ciputat
3/31/2022 9:00,Ciputat
3/31/2022 10:00,Ciputat
3/31/2022 11:00,Ciputat
3/31/2022 12:00,Ciputat
3/31/2022 13:00,Ciputat
3/31/2022 14:00,Ciputat
3/31/2022 15:00,Ciputat
3/31/2022 16:00,Ciputat
3/31/2022 17:00,Pondok Indah
3/31/2022 18:00,Kebon Jeruk
3/31/2022 19:00,Kebon Nanas
3/31/2022 20:00,Kebon Pala
3/31/2022 21:00,Kebon Pala
3/31/2022 22:00,Kebon Pala
3/31/2022 23:00,Kebon Pala
3/31/2022 0:00,Kebon Pala
4/1/2022 1:00,Kebon Pala
4/1/2022 2:00,Kebon Pala
4/1/2022 3:00,Kebon Pala
4/1/2022 4:00,Kebon Pala
4/1/2022 5:00,Kebon Pala
4/1/2022 6:00,Kebon Jeruk
4/1/2022 7:00,Bundaran Senayan
4/1/2022 8:00,Ciputat
4/1/2022 9:00,Ciputat
4/1/2022 10:00,Ciputat
4/1/2022 11:00,Ciputat
4/1/2022 12:00,Ciputat
4/1/2022 13:00,Ciputat
4/1/2022 14:00,Ciputat
4/1/2022 15:00,Ciputat
4/1/2022 16:00,Ciputat
4/1/2022 17:00,Pondok Indah
4/1/2022 18:00,Kebon Jeruk
4/1/2022 19:00,Kebon Nanas
4/1/2022 20:00,Kebon Pala
4/1/2022 21:00,Kebon Pala
4/1/2022 22:00,Kebon Pala
4/1/2022 23:00,Kebon Pala
4/1/2022 0:00,Kebon Pala
4/2/2022 1:00,Kebon Pala
4/2/2022 2:00,Kebon Pala
4/2/2022 3:00,Kebon Pala
4/2/2022 4:00,Kebon Pala
4/2/2022 5:00,Kebon Pala
4/2/2022 6:00,Kebon Jeruk
4/2/2022 7:00,Bundaran Senayan
4/2/2022 8:00,Ciputat
4/2/2022 9:00,Ciputat
4/2/2022 10:00,Ciputat
4/2/2022 11:00,Ciputat
4/2/2022 12:00,Ciputat
4/2/2022 13:00,Ciputat
4/2/2022 14:00,Ciputat
4/2/2022 15:00,Ciputat
4/2/2022 16:00,Ciputat
4/2/2022 17:00,Pondok Indah
4/2/2022 18:00,Kebon Jeruk
4/2/2022 19:00,Kebon Nanas
4/2/2022 20:00,Kebon Pala
4/2/2022 21:00,Kebon Pala
4/2/2022 22:00,Kebon Pala
4/2/2022 23:00,Kebon Pala
4/2/2022 0:00,Kebon Pala
4/3/2022 1:00,Kebon Pala
4/3/2022 2:00,Kebon Pala
4/3/2022 3:00,Kebon Pala
4/3/2022 4:00,Kebon Pala
4/3/2022 5:00,Kebon Pala
4/3/2022 6:00,Kebon Jeruk
4/3/2022 7:00,Bundaran Senayan
4/3/2022 8:00,Ciputat
4/3/2022 9:00,Ciputat
4/3/2022 10:00,Ciputat
4/3/2022 11:00,Ciputat
4/3/2022 12:00,Ciputat
4/3/2022 13:00,Ciputat
4/3/2022 14:00,Ciputat
4/3/2022 15:00,Ciputat
4/3/2022 16:00,Ciputat
4/3/2022 17:00,Pondok Indah
4/3/2022 18:00,Kebon Jeruk
4/3/2022 19:00,Kebon Nanas
4/3/2022 20:00,Kebon Pala
4/3/2022 21:00,Kebon Pala
4/3/2022 22:00,Kebon Pala
4/3/2022 23:00,Kebon Pala
4/3/2022 0:00,Kebon Pala
4/4/2022 1:00,Kebon Pala
4/4/2022 2:00,Kebon Pala
4/4/2022 3:00,Kebon Pala
4/4/2022 4:00,Kebon Pala
4/4/2022 5:00,Kebon Pala
4/4/2022 6:00,Kebon Jeruk
4/4/2022 7:00,Bundaran Senayan
4/4/2022 8:00,Ciputat
4/4/2022 9:00,Ciputat
4/4/2022 10:00,Ciputat
4/4/2022 11:00,Ciputat
4/4/2022 12:00,Ciputat
4/4/2022 13:00,Ciputat
4/4/2022 14:00,Ciputat
4/4/2022 15:00,Ciputat
4/4/2022 16:00,Ciputat
4/4/2022 17:00,Pondok Indah
4/4/2022 18:00,Kebon Jeruk
4/4/2022 19:00,Kebon Nanas
4/4/2022 20:00,Kebon Pala
4/4/2022 21:00,Kebon Pala
4/4/2022 22:00,Kebon Pala
4/4/2022 23:00,Kebon Pala
4/4/2022 0:00,Kebon Pala
4/5/2022 1:00,Kebon Pala
4/5/2022 2:00,Kebon Pala
4/5/2022 3:00,Kebon Pala
4/5/2022 4:00,Kebon Pala
4/5/2022 5:00,Kebon Pala
4/5/2022 6:00,Kebon Jeruk
4/5/2022 7:00,Bundaran Senayan
4/5/2022 8:00,Ciputat
4/5/2022 9:00,Ciputat
4/5/2022 10:00,Ciputat
4/5/2022 11:00,Ciputat
4/5/2022 12:00,Ciputat
4/5/2022 13:00,Ciputat
4/5/2022 14:00,Ciputat
4/5/2022 15:00,Ciputat
4/5/2022 16:00,Ciputat
4/5/2022 17:00,Pondok Indah
4/5/2022 18:00,Kebon Jeruk
4/5/2022 19:00,Kebon Nanas
4/5/2022 20:00,Kebon Pala
4/5/2022 21:00,Kebon Pala
4/5/2022 22:00,Kebon Pala
4/5/2022 23:00,Kebon Pala
4/5/2022 0:00,Kebon Pala
4/6/2022 1:00,Kebon Pala
4/6/2022 2:00,Kebon Pala
4/6/2022 3:00,Kebon Pala
4/6/2022 4:00,Kebon Pala
4/6/2022 5:00,Kebon Pala
